,date,open,high,low,close,close_cr,vol
0,2021-12-27,357500,360500,351000,356000,-1.39,331645
1,2021-12-28,356000,368500,355500,359500,0.98,541714
2,2021-12-29,363000,375000,354000,368000,2.36,492025
3,2021-12-30,368000,371000,361000,364000,-1.09,249963
4,2022-01-03,366000,373500,358000,370500,1.79,313306
5,2022-01-04,371000,374000,347000,349000,-5.8,700324
6,2022-01-05,347000,350000,336500,347000,-0.57,628438
7,2022-01-06,339500,353500,329500,329500,-5.04,623536
8,2022-01-07,332000,349500,332000,337000,2.28,574851
9,2022-01-10,333500,334500,321500,331000,-1.78,402745
10,2022-01-11,330000,335500,324500,326500,-1.36,374126
11,2022-01-12,334500,350000,329000,344500,5.51,679621
12,2022-01-13,348000,365000,346500,352500,2.32,800469
13,2022-01-14,363500,398500,360000,384500,9.08,1731987
14,2022-01-17,375000,376500,355000,359000,-6.63,1009998
15,2022-01-18,361500,371000,355500,358000,-0.28,588591
16,2022-01-19,349000,374000,348500,371500,3.77,726924
17,2022-01-20,376000,384500,372500,375500,1.08,518997
18,2022-01-21,365500,376000,359000,363000,-3.33,569231
19,2022-01-24,360000,369000,357500,360000,-0.83,434619
20,2022-01-25,363500,365000,343000,349000,-3.06,484678
21,2022-01-26,350000,352000,329000,330500,-5.3,854777
22,2022-01-27,341500,347000,327000,331000,0.15,789909
23,2022-01-28,339000,358000,335000,353500,6.8,820861
24,2022-02-03,366000,367500,351000,351500,-0.57,503268
25,2022-02-04,350000,356000,333000,348500,-0.85,722911
26,2022-02-07,345000,348000,331000,335000,-3.87,502242
27,2022-02-08,335000,340500,324500,326000,-2.69,580204
28,2022-02-09,333000,342500,333000,336500,3.22,458911
29,2022-02-10,342000,342000,324000,326500,-2.97,473361
30,2022-02-11,319500,325500,312000,321000,-1.68,485837
31,2022-02-14,313500,322500,313500,315000,-1.87,284827
32,2022-02-15,318500,321000,311000,313500,-0.48,305520
33,2022-02-16,321500,322000,313500,317000,1.12,304597
34,2022-02-17,320500,333000,319000,325000,2.52,593979
35,2022-02-18,320000,331000,320000,325000,0.0,273608
36,2022-02-21,320500,320500,311000,319500,-1.69,403175
37,2022-02-22,311000,318000,307000,315000,-1.41,408789
38,2022-02-23,321500,335000,319000,335000,6.35,529272
39,2022-02-24,329000,335000,322000,323000,-3.58,425622
40,2022-02-25,330000,337500,325000,327000,1.24,316697
41,2022-02-28,323000,327500,320000,327000,0.0,321008
42,2022-03-02,324500,325500,320000,320500,-1.99,218457
43,2022-03-03,325500,346000,324000,345000,7.64,638212
44,2022-03-04,344000,348000,334000,337500,-2.17,425168
45,2022-03-07,332000,341500,331500,338500,0.3,370066
46,2022-03-08,333500,356000,333000,346000,2.22,566024
47,2022-03-10,356000,359500,350000,353000,2.02,382742
48,2022-03-11,352500,356500,345500,351000,-0.57,276636
49,2022-03-14,350000,351000,333000,339500,-3.28,501686
50,2022-03-15,337000,346000,336000,341000,0.44,304294
51,2022-03-16,348000,363500,346000,362500,6.3,571641
52,2022-03-17,371000,374500,366000,370000,2.07,414725
53,2022-03-18,372500,384000,371000,382000,3.24,482944
54,2022-03-21,384500,408000,384500,405000,6.02,677205
55,2022-03-22,403000,413500,399000,411500,1.6,357711
56,2022-03-23,414500,414500,397000,398500,-3.16,462203
57,2022-03-24,399500,406000,394000,406000,1.88,290581
58,2022-03-25,406000,410000,402000,403000,-0.74,200568
59,2022-03-28,400000,409500,386000,391000,-2.98,402101
60,2022-03-29,393500,396000,381000,391500,0.13,428695
61,2022-03-30,394500,397000,382000,387000,-1.15,298409
62,2022-03-31,386500,389000,382000,387000,0.0,213422
63,2022-04-01,385500,392500,382500,384500,-0.65,212220
64,2022-04-04,387000,387000,382500,385000,0.13,137776
65,2022-04-05,389500,396500,378000,378000,-1.82,386099
66,2022-04-06,373000,380500,372000,374500,-0.93,194368
67,2022-04-07,374000,386000,372500,376500,0.53,369821
68,2022-04-08,378500,385500,375500,381500,1.33,242753
69,2022-04-11,382000,384000,366000,368500,-3.41,319718
70,2022-04-12,364500,372500,364000,369500,0.27,200780
71,2022-04-13,373500,380500,367000,373500,1.08,267342
72,2022-04-14,381000,405000,376500,399000,6.83,898018
73,2022-04-15,395500,401500,393500,398500,-0.13,216595
74,2022-04-18,397000,398000,389000,393000,-1.38,153967
75,2022-04-19,395500,399000,386500,391500,-0.38,225743
76,2022-04-20,392500,395000,388000,391000,-0.13,192804
77,2022-04-21,393000,395500,387000,388000,-0.77,185792
78,2022-04-22,385000,391000,380000,389500,0.39,234461
79,2022-04-25,384500,384500,372000,372500,-4.36,299253
80,2022-04-26,377500,379000,369000,370500,-0.54,213575
81,2022-04-27,360500,369500,353500,368000,-0.67,299492
82,2022-04-28,371500,372000,345000,350000,-4.89,615972
