,date,open,high,low,close,close_cr,vol
0,2022-01-01,,,,,,
1,2022-01-02,,,,,,
2,2022-01-03,132000.0,132500.0,128000.0,128500.0,-1.91,490940.0
3,2022-01-04,129500.0,130000.0,127500.0,128500.0,0.0,466571.0
4,2022-01-05,129000.0,129000.0,121500.0,125500.0,-2.33,921468.0
5,2022-01-06,123500.0,127000.0,123000.0,125000.0,-0.4,466797.0
6,2022-01-07,127000.0,129000.0,126500.0,127000.0,1.6,417803.0
7,2022-01-08,,,,,,
8,2022-01-09,,,,,,
9,2022-01-10,126500.0,127000.0,123000.0,124500.0,-1.97,428295.0
10,2022-01-11,125500.0,128500.0,124500.0,128000.0,2.81,502323.0
11,2022-01-12,129500.0,130000.0,126500.0,128500.0,0.39,455037.0
12,2022-01-13,128500.0,130000.0,128000.0,129500.0,0.78,536434.0
13,2022-01-14,128500.0,129000.0,126000.0,128500.0,-0.77,479418.0
14,2022-01-15,,,,,,
15,2022-01-16,,,,,,
16,2022-01-17,127500.0,128000.0,124500.0,127000.0,-1.17,470159.0
17,2022-01-18,126500.0,127500.0,125000.0,126500.0,-0.39,455390.0
18,2022-01-19,123500.0,128500.0,123500.0,127000.0,0.4,517205.0
19,2022-01-20,126000.0,126500.0,123500.0,125000.0,-1.57,677312.0
20,2022-01-21,121500.0,122500.0,118000.0,119000.0,-4.8,774548.0
21,2022-01-22,,,,,,
22,2022-01-23,,,,,,
23,2022-01-24,116500.0,120500.0,116500.0,119000.0,0.0,577394.0
24,2022-01-25,118000.0,120000.0,116500.0,118000.0,-0.84,672614.0
25,2022-01-26,119000.0,119500.0,117500.0,117500.0,-0.42,404643.0
26,2022-01-27,119500.0,119500.0,111000.0,113500.0,-3.4,761227.0
27,2022-01-28,115000.0,121500.0,114500.0,120500.0,6.17,568487.0
28,2022-01-29,,,,,,
29,2022-01-30,,,,,,
30,2022-01-31,,,,,,
31,2022-02-01,,,,,,
32,2022-02-02,,,,,,
33,2022-02-03,124500.0,127000.0,124000.0,124000.0,2.9,647974.0
34,2022-02-04,125500.0,127000.0,124000.0,124500.0,0.4,379979.0
35,2022-02-05,,,,,,
36,2022-02-06,,,,,,
37,2022-02-07,123000.0,123500.0,119500.0,123000.0,-1.2,583282.0
38,2022-02-08,124500.0,126000.0,123500.0,125000.0,1.63,506437.0
39,2022-02-09,127000.0,128000.0,124500.0,126000.0,0.8,548847.0
40,2022-02-10,129000.0,131000.0,127000.0,129500.0,2.78,939936.0
41,2022-02-11,130500.0,132500.0,130000.0,132000.0,1.93,795971.0
42,2022-02-12,,,,,,
43,2022-02-13,,,,,,
44,2022-02-14,130000.0,132500.0,129500.0,132500.0,0.38,652422.0
45,2022-02-15,131500.0,132000.0,127000.0,127000.0,-4.15,656448.0
46,2022-02-16,131000.0,132500.0,130000.0,130500.0,2.76,459242.0
47,2022-02-17,130500.0,134000.0,130000.0,133000.0,1.92,719951.0
48,2022-02-18,131500.0,133000.0,129500.0,131500.0,-1.13,407715.0
49,2022-02-19,,,,,,
50,2022-02-20,,,,,,
